I found out that I'm getting a bonus for having the top rating in my district!</s>		<pad> That's awesome! What district is it in?</s>		Congratulations! That is amazing! You must be a hard worker. What do you do?</s>
I have recently become vegan and I am very impressed with the food</s>		<pad> That's great. I'm glad you're doing well.</s>		That is interesting. Do you miss meat or dairy at all?</s>
I am at a cross road. I am trying to decide my major in college.</s> That's a big decision! What are your choices?</s> I was thinking about graphic design. Or, I was going to do something practical like Nursing.</s>		<pad> I'm glad you are able to do that!</s>		If you want my advice - choose something you're going to enjoy. I personally couldn't be a nurse - too messy!</s>
I was driving home from out of town really late one night and was exhausted</s> that's very dangerous, driving and being exhausted did you manage to get home safe?</s> I did get home safe but it was scary because the roads were two lane and lots of 18-wheelers were heading in the opposite direction. I kept thinking I would swerve into their lane and collide into them</s>		<pad> I'm sure you did.</s>		i'm glad you didn't</s>
I am currently dealing with epilepsy unfortunately, and the doctors have not found a treatment yet.</s> That is unfortunate. I hope that it is able to be treated well.</s> Thanks. I have to go to a Monitoring Unit in two weeks where they will induce seizures to see if they can pinpoint their location. Not going to be fun.</s>		<pad> I hope so. I hope you are able to get a better diagnosis.</s>		I hope it goes as smooth as possible. Hang in there.</s>
My oldest and my husband have always had a rough relationship. I've got to believe that as she gets older, it will get better!</s> I'm sure it will! I didn't get along with my dad until i became an adult.</s> That's always good to hear. But in the moment -- argh, my *heart*. How did your mom maneuver the differences between y'all? Did that wear on her?</s>		<pad> I'm sure it will. I'm sure she'll get along with you.</s>		Yes it did. I believe she just waited it out and tried to neutralize the conversation when we were together.</s>
Wow! A 20 foot boat, that must be amazing to take out on the lake! How much did it cost you?</s> It cost me around $30,000. It has all the latest features, that should keep me safe in all but the most extreme conditions.</s> Id love to own a boat, are you using it for leisure or fishing etc?</s> It has been a dream of mine for a long time. I am mainly going to use it for fishing. But might have to take my wife tubing to make her happy.</s>		<pad> I have a 20 foot boat, it is a great boat to have.</s>		They both sound like great plans! Tubing would be a great way to keep her happy while you fish haha!</s>
Oh dear. I am so sorry to hear. It is possible for you to get a second job?</s> I may have to if that happens. We are making it now, but if the car goes it will be pretty tough.</s> i can just imagine. I wish There was something that I could do to help.</s> It is ok. We are probably too proud to take help anyway. We will make it.</s>		<pad> I hope you are able to get a second job.</s>		I pray and hope that something works out and that the good old faithful car will not bite the dust.</s>
Okay, a silly pet peeve but one nonetheless -- when people just leave their grocery carts willy-nilly in the parking lot. No consideration for others or the people who work at the store!</s> Absolutely I agree I always try to not even bring cart unless I have too many too carry.</s> Me too. And I will always make sure to at *least* put it in one of those cart corrals, if not walk it back up to the store. Hey -- extra exercise ;-)</s>		<pad> I'm sure you'll be fine.</s>		Yes me too Now if everyone would just take our lead lol</s>
Sometimes I wake up at night and eat junk food.</s>		<pad> I hate when that happens.</s>		I've never done that but i know plenty of people who do that. Its normal every know and again but don't turn it into a daily habit!</s>
i cant stand seeing homeless people in the street, i get really angry and sad at the same time</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Do you ever offer to help thm?</s>
When I left the bathroom in high school once I had toilet paper stuck to my shoe.</s>		<pad> Oh no! Did you get a new one?</s>		I bet it was very embarrassing?</s>
I love when I need to show someone how to do something and everything goes off without a hitch.</s> Oh yeah, that's always nice. Sometimes they just don't get it, though.</s> Fortunately it's usually just not having the best answer for what they ask. I've learned and prepared a lot more this time.</s>		<pad> I'm glad you learned something.</s>		Wow, you sound pretty confident! You must really know what you're talking about.</s>
I'm sorry to hear that. I had a dog die once too.</s>		<pad> I'm sorry to hear that. I'm sure you'll be okay.</s>		it is so sad to know but my mother is rather sick of flu and not dying</s>
I was surprised when my parents threw me a big party</s>		<pad> That's great! What did you do?</s>		Was it for your birthday?</s>
We walked, we ate ice cream, we rode a bike, we laughed a lot, we enjoyed the outdoors, we were exhausted</s> Who did you do all those things with? Sounds like a wonderful day!</s> I had time that I did not share with the children and that was something that was pending in my soul</s>		<pad> I am sure you had a great time.</s>		They must have been really happy.</s>
My dad always worked his ass off at a job he didn't like in order to support us, doing a lot of back breaking work as a caretaker. He even had a second job at Wal-mart for a while. I have no idea how he managed to do that sort of thing.</s> When you have responsibilities that you really care about, you do what you have to. I commend him. ITs hard raising a family,</s> Yeah, especially because we were single income. My mom homeschooled my brother and I. I think he took only a handful of sick days his entire time working, had something like 600 days saved up when he retired.</s>		<pad> I'm glad you have a good dad.</s>		Oh wow. Ive never heard of that many sick days.</s>
Playing hookey can be really fun. But sometimes it backfires...</s>		<pad> Oh no! I'm sorry to hear that.</s>		Ohh what happened?</s>
I really was distraught</s> really?</s> yes. Makes me value human-human interaction a lot more. I had to go to the grocery store to feel ok</s>		<pad> I agree. I'm glad you were able to get through it.</s>		ok</s>
I was so sad when I had to put my dog down last year</s>		<pad> Oh no! I am sorry to hear that. What happened?</s>		Oh. I'm sorry. How old was your dog?</s>
I was sick in bed with the flu. My boyfriend took care of me though</s> That is so nice of him. Are you feeling better?</s> Yes, I feel much better now.</s>		<pad> That is great. I hope you are feeling better soon.</s>		That's good to hear. I hope I meet someone that will do that for me.</s>
I lost a good job a few years back</s>		<pad> That's a shame. I hope you recover.</s>		That blows dude, i bet it was not your fault</s>
I ca not believe what happened the other night at my friends house, I'll never show my face again.</s> Can you please give a little more detail about what happened at your friends house that made you not want to show your face??</s> Sure, I fell asleep on the chair and had a dream, in my dream I went to the restroom, so yeah, I peed right there in their chair.</s>		<pad> I'm sorry to hear that. I hope you don't have to show your face again.</s>		How embarrassing! I did that one time when I was sleeping in my bed and I thought I got up and went to the bathroom to pee, but I did not go to the bathroom, I peed my pants in the bed.</s>
This is the first time ever that both of my kids have been in school.</s> Interesting, are you feeling OK having less bonding time?</s> Yeah, it's just too quiet lol.</s>		<pad> I'm sorry to hear that.</s>		I see, I imagine time will start to fly once you take up a new hobby, or school ends for the day.</s>
I feel slightly bad. I think I hurt my mom's feelings last week because she told me about a necklace I got rid of when I was a kid. She's a packrat and I'm really, really not.</s> Awww... reminds me of the show hoarders when the family members argue over silly things like that. What was the necklace all about did you make it or something?</s> I feel like her and my aunt kind of could be on that show. :/ I'm all about less stuff to pick up! lol Eh..it was a necklace she gave me when they found out they were pregnant. It said "Special Sister". I'm probably a jerk..</s>		<pad> I'm sorry to hear that. I hope you don't get hurt.</s>		Well why did you have it if it belonged to them? Did you pawn it?</s>
I get pretty sad some nights, but it feels good to cry sometimes</s>		<pad> I know that feeling. I hope you are feeling better.</s>		Oh, why are you crying? Is anything wrong in particular? Have you talked to somebody?</s>
Once when I was younger I went to a friends 16th birthday and had a crazy experiene happen</s> What happened?</s> we were walking in the front door and it had a glass door apparently but I didn't see it. It was a very clean door. LOL. Later on that night I won a door prize. which was pretty funny]</s>		<pad> I bet you were a little embarrassed.</s>		What did you win?</s>
I am so lonely right now because no one wants to be with me</s>		<pad> I am sorry to hear that. I hope you are able to find someone to be with.</s>		I'm sad to hear that. Have you tried using social media to make new friends?</s>
Hello... I confess that when I see my daughter's eyes, my heart suffers.</s> Wow, what happened to her eyes?</s> They are sick</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Ohhh sorry about that. It is well.</s>
I just graduated from college! I feel so accomplished.</s> That is SO exciting! I remember how that felt!</s> I am very excited about it! Although I am a bit nervous about what is to come. I still need to find a job.</s>		<pad> That is great! I hope you have a great job!</s>		That will come! The hardest part is over now!</s>
I was given a job offer at a new company. I decided to stay with my current organization out of loyalty.</s> Loyalty is a good thing</s> Yes, I think so as well. The new company offered me approximately $10,000 more a year than my current business is paying though.</s>		<pad> That is a good thing. I'm glad you did not lose your job.</s>		Oh wow, that is loyalty for sure</s>
When my friend told me to give him my last $400, I thought he was crazy. But in the end, I am glad I did.</s>		<pad> That's great. I'm glad you did it.</s>		Why did you do that?</s>
I once went a restaurant, and I saw rats running around in the back kitchen!</s> Did you say anything to someone?</s> I reported it! I was shocked and grossed out, how can a place like that operate!?</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		a Burger King near me got shut down for that!</s>
My parents keep taking my money</s>		<pad> I'm sorry to hear that. I'm sorry.</s>		That's not nice of them. Why do they keep taking it??</s>
i was really sad when my dog died last year</s> That is hard thing to go through. I hope you are feeling better about it now.</s> yeah i have been over it for sometime now but it is till hard to talk about</s>		<pad> I hope you are feeling better soon.</s>		I bet. Losing a pet is much like losing a loved one. It gets better but still hurts sometime.</s>
We took our son to the doctor and luckily he is getting better!</s>		<pad> That's great! I hope he is doing well.</s>		That is very good to hear, hopefully things truly turn around for him.</s>
I lost my wallet last week</s> Oh that is the worse. Dis you find it at any point?</s> My friend freaked out but I was pretty sure I left it at a restaurant and I trusted in my fellow humans to turn it in</s>		<pad> That is a good thing. I hope you find it soon.</s>		And who was right in this case? Dis anyone turned it in?</s>
So yesterday I went bowling and the ball got stuck on my hand... I went with it.</s>		<pad> Oh no! I'm sorry to hear that.</s>		Yikes. Did you get injured?</s>
I went to do karaoke with a guy i'm dating and I discovered he's a really talented singer</s>		<pad> That's great! What did you do?</s>		Does he like to sing?</s>
My friend's boyfriend recently made a pass at me. I'm married, and I also am really good friend's with his girlfriend so I felt really bad. I made sure he knew I was loyal and honest to both!</s> Thats horrible. Did you tell on him?</s> I struggled with it, but my friend was in a really bad spot, with no income and raising her grandchild, he was the financial supporter. So, I didn't tell her, as I knew it would really hurt her in several ways, plus she really loves him!</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Thats a tough situation.</s>
So my sister is getting married in a few weeks.</s>		<pad> That's exciting. I'm so excited.</s>		Congratulations! I bet she is excited and hopefully you are excited for her.</s>
I didn't tell my friend when her boyfriend hit on me. She was in a bad spot and needed him for financial support, and that's why I didn't tell her. But, I still felt so bad about it.</s> I can empathize with you there. Do you think there might be another way to let her know?</s> Well, she had custody of her handicapped grandchild and no job, plus she was very much in love with him. I thought it would just make things worse for her.</s>		<pad> I'm sorry to hear that. I hope you get through it.</s>		Well money is not everything, one day it will come out and then the timing will likely be worse.</s>
My test results come back today. I do hope everythings ok.</s>		<pad> I hope everything is ok.</s>		What are you worrying about?</s>
I recently found out that a person I very much intimately admired did not feel the same way for me. I was pretty surprised.</s> I'm sorry to hear that! How did you find out?</s> She just started treating me differently all of a sudden. And now she is going to be moving away soon.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		That's a real bummer, but as they say, there are plenty of fish in the sea!</s>
I had to give a presentation in front of my college class and it didn't go so well.</s> Oh no! I hate speaking in front of crowds. What happened?</s> There was a lot of stuttering and red-face going on. Also, technical difficulties.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		I know you probably feel like you did a bad job- but I bet you did so much better than you think! Be proud of yourself for having the nerve to speak in front of others!</s>
I thought it was unfair how YouTube banned Alex Jones</s>		<pad> I agree. I'm sure you'll find it in the comments.</s>		It is indeed unfair, they shouldn't have done that</s>
Not that long ago, my husband planned a secret trip for us! I didn't have a clue he was doing it and was pleasantly shocked. It was so much fun!</s> Where did he take you to?</s> We just took a weekend trip to Tunica, MS. We stayed at a really nice casino hotel and just played some Blackjack, enjoyed good food and each other's company!</s>		<pad> That's great! I hope you had a great time!</s>		I love Tunica. Did you win at blackjack?</s>
I am looking forward to next week! My husband has been out of town on business for several weeks and comes home next weekend!</s>		<pad> I am sure he will be home soon!</s>		Do you have any special welcome-back events planned?</s>
I had the most wonderful week recently. My neighbors weren't here and I could do whatever I wanted without them stomping on my head!</s>		<pad> That's great! I hope you had a great week!</s>		That sounds like a relief.</s>
My son and I went to the track yesterday to run.</s> Oh no.. Did he pass away?</s> No, but he did end up puking all over the parking lot afterwards.</s>		<pad> Oh no. I hope you are ok.</s>		Hope you feel better</s>
I took a test for college the other day, it was basically our midterm.</s> How did you do?</s> I don't know yet. The wait is killing me and I'm not confident I did well.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Im sure you did fine. what was the subject?</s>
Recently my daughter was voted 'Most Artistic' by her peers! She is so talented and we feel lucky to be her parents.</s> so very nice.your doughter.</s> Yes, she has a natural talent, but really puts much practice and time into it.</s>		<pad> I'm sure she will be able to do it.</s>		whove very nice ya and super talent.</s>
I felt bad my dogs ears have been bothering him. We had to finally take him to the vet yesterday.</s>		<pad> I'm sorry to hear that. I hope you're okay.</s>		Is he going to be okay?</s>
I try to skateboard with my kids everyday. They love it, and it makes me feel young again.</s>		<pad> I'm glad you're doing it.</s>		Wow, very cool. The last time i tried to skateboard i almost broke my tailbone. props to you though!</s>
I'm 38 weeks pregnant, could have my baby any day now!</s> Congrats! Thats so exciting do You fel ok?</s> Yes, a bit nervous because my first birth was hard, but I know I'm ready and have everything we need for the baby!</s>		<pad> Thats great! I hope you have a great baby!</s>		YAY! good job! He/she is going to be beautiful</s>
When I go up with my skydiving students I feel proud when they do well</s>		<pad> That's great! What do you do?</s>		I'd imagine so. How long have you been a sky diving instructor for?</s>
i feels happy</s>		<pad> i am happy for you.</s>		That is awesome! Is there a particular reason you are so happy?</s>
A big wind storm blew through town and uprooted one of the trees in my yard.</s>		<pad> Oh no! That's terrible. Did you get a new one?</s>		Yikes! Was anything damaged?</s>
my son is sick, he got this hand foot and mouth desease, nothing serious but he has a fever</s>		<pad> Oh no! I'm sorry to hear that. I hope you are okay.</s>		Oh no, poor baby</s>
Oh boy that is the worst, so frustrating! Has there been any change since?</s> plenty lol. kicked them out long time ago. now with new wife of 5 years haha. but point is, i never cheated even during those 8 months of feeling alone, heck, BEING alone</s> Hahaha you put the hammer down good for you bro. How are things with the new wife going?</s> as bill & ted would say: Excellent! <unk> guitar<unk> </s>		<pad> I'm glad you're feeling better.</s>		You remember that show hahaha totally my twin. I'm glad for you bro. Good luck to you!</s>
I get my groceries delivered to my home and am so grateful for the service.</s> Yeah it is really nice to have other people do your shopping</s> It helps me a lot as I'm disabled and it can be quite difficult. Anyway, I hate grocery shopping!</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Shopping is no fun, waiting in lines is not fun.</s>
I'm so proud of my wife</s>		<pad> That's great. I'm sure she'll be proud of you.</s>		i bet she's a wonderful woman</s>
I was loyal to the same company for 10 years.</s>		<pad> That's great! What company did you choose to work for?</s>		That's rare these days, I was with mine for 7</s>
Ugh...my boss made me stay late yesterday, so I had to work overtime, but I didn't even get paid for it!</s> That doesn't seem fair. How are they getting around not paying you for it?</s> I'm technically salaried, so I don't get paid overtime. It's still really irritating.</s>		<pad> I'm sorry to hear that. I'm sure you will get better soon.</s>		It sounds like your boss needs to be more considerate when it comes to his employees.</s>
Once after a night on the town, I came home and my room had been ransacked.</s>		<pad> That's terrible. What happened?</s>		Oh no! I bet you were terrified!</s>
I had a bad experience out to eat the other day. I don't do it too often, so it was a bummer.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		That doesn't sound good. What happened that was so bad?</s>
Our pet cat will need to be put down soon.</s>		<pad> That's a tough situation.</s>		Oh I am so sorry to hear that. Have you had it since it was a kitten?</s>
I'm excited to think of all the possibilities that are available to me at the moment</s>		<pad> I'm sure you will be able to do that.</s>		What possibilities do you speak of?</s>
Have you everr been in a fist fight with anyone?</s> Yes, Several times in my life. Mostly me and my older brother when we were younger.</s> I got in a fist fight with my step father once. It wasn't a fun experience as you can imagine.</s>		<pad> I've been in a fist fight with my brother a few times.</s>		What started the fist fight in the first place?</s>
A few months back, one of my girlfriend's close friends died from a heroin overdose.</s>		<pad> That's terrible. What happened?</s>		Oh, I am so sorry. Were you also close to them?</s>
I forgot about my grandmother's birthday a couple years back. I felt so bad about it!</s> Oh no! It happens to the best of us :) Have you talked to her about it when you remembered?</s> Absolutely! I called her the next day and made sure to visit her. :)</s>		<pad> I bet you were so sorry!</s>		Awww I'm sure she completely understood and really appreciated you reaching out and going to visit her!</s>
I am so happy to be having a boy</s>		<pad> That's great. I'm sure he'll be a good boy.</s>		That's great! Congratulations! Is this your first child?</s>
i stold some spare change from my parents</s>		<pad> That's great! I'm sure you'll be happy with it!</s>		How old were you when you did it?</s>
i cant wait to see my dog back home it has been 2 years since i see him</s>		<pad> I'm sure he'll be happy for you.</s>		I would go mad, were you away at college or in the service?</s>
It has been very quiet in here since she went on vacation. No one to talk to.</s> Did you got bored?</s> I kept myself occupied with movies and video games. But it wasn't the same as having real company.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		I understand.</s>
I have been trying to get my oldest son to be more responsible. I started out small by asking him to adopt a good sleep schedule. After several weeks he still hasn't.</s>		<pad> That is a tough one. I hope he is doing well.</s>		Oh no. Is he responsible with school or a job?</s>
I just found a photo book of me and my family growing up.</s> Aw, that's awesome, did it bring back memories?</s> It was pretty nostalgic, how young we all looked growing up.</s>		<pad> I bet, that's a great book.</s>		Yeah, it's always nice to take a look back and reflect on the early days.</s>
I received a phone call the other day from a friend I hadn't heard from in ages.</s>		<pad> That's great. I hope you're feeling better soon.</s>		Oh wow, I bet that was nice. Hopefully y'all had a good talk.</s>
I've got back in to running this week, I missed it! It's a great stress reliever!</s>		<pad> I'm glad you're doing well.</s>		Wow, I don't know how you runners do it. I can't stand running. How many miles do you run per day on average?</s>
my husband called me a punk today for no reason. and then when i told him he hurt my feelings he didn't even understand why</s> Forget him. Get yourself a real man.</s> no.. i love him. but he can be such a punk sometimes</s>		<pad> That's a good thing. I hope you get a chance to get to know him.</s>		If he really loved you, he would pay attention to your every need. Kick him to the curb.</s>
I saw my favourite candy at the store today! Was so excited, hadn't seen it in a while.</s> Oh nice. What kind of candy was it?</s> This sour s'ghetti candy by HARIBRO. I use to eat this all the time as a child.</s>		<pad> I love s'ghetti candy. I love s'ghetti candy.</s>		Oh yeah I think I have tried that one! I love anything by Haribro!</s>
On my last visit to my orthopedic surgeon he suggested surgery to fix my hip.</s> Yikes that sounds scary but overall good for the end results. How do you feel about it?</s> Nervous. Surgery is a big step and I'm afraid something will go wrong.</s>		<pad> I'm sorry to hear that. I hope you feel better soon.</s>		I understand i would be too but now a days technology is really good just make sure its a reliable hospital!</s>
The other night I wanted cake when I woke up in the middle of the night</s>		<pad> Oh no. I'm sorry to hear that.</s>		Oh I get those midnight cravings all the time!</s>
I felt pretty bad when I was having girl talk with my friend and we were talking about our partners. Her boyfriend had made a pass at me, but I never told her about it.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Wao, you must fell weird about it! what you thinki to do about it?</s>
I had to wait in line for 15 minutes at the store today. There was only one poor cashier working.</s> That must of been a pain! I hate waiting in lines for cashiers, they are so slow sometimes.</s> The cashier couldn't help it. The store should hire more people.</s>		<pad> I'm sorry to hear that. I hope you get a better experience.</s>		Stores should really open more checkouts when it is busy, especially during rush our!</s>
Two years ago we decided to sell off almost everything we owned and move into our RV so we could travel full-time. I was really scared and worried about literally everything lol.</s> Oh wow that is a huge commitment! How did it go?</s> It has been amazing! We have enjoyed every minute of the last 2 years. My kids are seeing and experiencing things that they may have never been able to see or do.</s>		<pad> That is great! I hope you have a great time!</s>		That is really awesome! Im glad it all worked out for you!</s>
I love teaching people how to skydive - it is so much fun helping them to learn.</s> That's sound like a lot of fun! Do you know where I can go get lessons?</s> There are skydiving centers all over the world. What part of the country are you in? It is an amazing sport.</s>		<pad> I'm glad you're able to go!</s>		I am in VA. I have been looking into it for quite awhile, but I think I'd be too chicken to jump out of the plane.</s>
I had to replace my toilet the other day. It was a new experience, and not altogether pleasant.</s> That sounds miserable! Did you do it yourself?</s> Yeah. It wasn't terribly hard, but it definitely took watching a few videos to feel confident.</s>		<pad> That sounds like a lot of work.</s>		At least you saved money doing it yourself!</s>
I'm so nervous, have a final exam on Tuesday!</s> Do you think you'll do well?</s> Yes, I have been studying a lot but still worried. I need to get a good grade!</s>		<pad> I'm sure you will do well.</s>		What class is it?</s>
I had plans to move from Florida to California, but I'm starting to get cold feet...</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Ooh, that's a big jump. I was considering the same thing, but I' one state above :)</s>
Its so quiet in my house, my husband is out of town for work.</s> Hey I like alone time! Just gotta find some cool stuff to do!</s> True, I'm trying but keep hearing creepy noises. Guess I need to turn the TV up louder haha</s>		<pad> I'm sure you will find some fun things to do!</s>		oh no!! The ghosts are coming!! Yeah turn the TV up LOUD :D</s>
I finished a class and most of my classmates got an A! It took a lot of work.</s>		<pad> That's great! What did you do?</s>		That's great. Takes a lot of dedication to be that prepared.</s>
Ugh...my boss made me stay late yesterday, so I had to work overtime, but I didn't even get paid for it!</s>		<pad> Oh no! I'm sorry to hear that. I'm sorry to hear that.</s>		That doesn't seem fair. How are they getting around not paying you for it?</s>
I'm gonna take the family out to the lake this weekend, we might rent a boat.</s>		<pad> I'm sure you will have fun!</s>		That sounds like a great way to spend the weekend. What type of boat are you thinking about renting?</s>
I hope when I get older, Im not lonely as I am now</s> I'm sorry to hear that. Have you ever been married?</s> I was engaged but my woman left me</s>		<pad> I hope so. I'm sorry to hear that.</s>		I'm so sorry. It wasn't meant to be.</s>
School for my kids started again this past Thursday.</s>		<pad> That's great! What did you do?</s>		How was that? Were you excited for some more quiet and for them to get back on a schedule? Or are you sad that it shows that they're getting older?</s>
I was nervous about an upcoming job interview recently, I bought a new outfit and got a haircut to make myself feel better.</s>		<pad> That's great! What did you do?</s>		Do you feel any less nervous? Job interviews are always nerve-wracking</s>
I was fast asleep this morning when my cat pounced on me and jolted me awake.</s>		<pad> Oh no! What happened?</s>		I've had pets to do that too.</s>
One of my co-worker came and asked me a lot of really weird questions about my supervisor. It seemed suspicious so I pretty much told her I didn't know any of the answers to her questions. I don't think she likes my supervisor.</s>		<pad> That's a pretty bad thing to do. I hope you don't have to deal with that.</s>		oh that's just a recipe for disaster 100% of the time.</s>
I flew all the way to New York City to buy a designer dress for the prom.</s> You must be wealthy. I would love to visit NYC</s> I am, thanks, but I wouldn't go there... Becky STILL managed to get the same dress as me! I am so mad!</s>		<pad> I am sorry to hear that. I hope you get a nice dress.</s>		OMG! I know how you feel</s>
Hi, I have applied for a driving license thrice and I have failed in all the thee</s> I am so sorry to hear that! Is there a particular section you are having trouble with?</s> Yes, I am a little uncomfortable driving backwards. I just can't do that.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Ah! That's quite understandable. It is tricky at first and non-intuitive. I practiced driving in reverse with cones in an abandoned lot.</s>
My wife has been out of the country for two months, and is coming back in a week!</s>		<pad> That's great. I'm so sorry to hear that.</s>		Oh wow, I bet you can't wait! I remember when I had to spend a summer overseas and it was awful to be away from my husband.</s>
My dog randomly got up on my couch last week, and just started peeing.. Like what!?!?!??!?!</s> haha that sucks! did you take him/her out to pee recently?</s> Not since lunch, so it's actually been about 4 hours.. I hate living on the top floor!</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		What did you have for lunch?</s>
i hate that people dont care and they just throw their trash on the street</s> do you pick up after them or tell them anything?</s> if im walking i pick up as much as i can</s>		<pad> I'm sure you'll be fine.</s>		thats good of you</s>
I'm feeling a little down right now. The weather is perfect, but I miss not going to the beach with my husband and dog and catching the sunset. Those were great times!</s> I bet! Im sorry you are feeling down.</s> Yeah, we would take a bottle of wine with us, watch the surfers and just kick back. Wish those days would return.</s>		<pad> I bet! I miss the sunsets too.</s>		Times like that would be so awesome! I hope they come back for you</s>
I love my husband! He has been so sweet this week!</s> Aww! That is so cute! Has he done something special this week that made him extra sweet?</s> He knew I had a rough day today so he brought home my favourite wine and Taco Bell! It's the little things :)</s>		<pad> I bet! I'm glad he did something special!</s>		That is so sweet of him. Its definitely the little things.</s>
I put in to get a promotion at work, and I should know something either way by tomorrow.</s>		<pad> That's great. I hope you get it.</s>		Wow, that's really exciting! Good for you, you must be nervous.</s>
My daughter has been sick for months but she is finally starting to get better!</s> Glad to hear it. I hate hearing about children having tragic childhoods and not being able to just simply be a kid. But at least she'll have a good perspective and appreciate life more.</s> Thank you, Defenitly! She is still young and most likely won't remember this either!</s>		<pad> I'm sorry to hear that. I hope she'll be able to enjoy life.</s>		Even if she does, it will help make her a well-rounded, relatable person. Usually these things help ground kids and give them character. But maybe you're right, if she moves on from it quickly, that's great too!</s>
hello how was your day?</s> My day was great so far! How about you?</s> yeah fine great day</s>		<pad> I hope you had a great day!</s>		That is good to hear! I'm am sure you are grateful to experience such a good day!</s>
Last night a fly got into the bedroom and wouldn't stop trying to land on my face</s> Flies are so annoying</s> It was terrible! Right as I was about to fall asleep the dang thing would land on my nose!</s>		<pad> Oh no! I'm sorry to hear that.</s>		I had that problem with a mosquito once. I woke up with a bite on the tip of my nose</s>
I recently went tubing on a river with my girlfriend and her friends from college.</s> Did you enjoy it?</s> I had a blast! It's supposedly a four hour float but we were out there for eight!</s>		<pad> That's awesome! I'm glad you had a blast!</s>		Amazing! did you go down rapids and do scary stuff?</s>
I managed to get on the A honor roll at my school, I was a bit smug and happy for myself about the whole thing.</s> There's nothing wrong with that</s> I'm just happy that I got it, it took a lot of hard work.</s>		<pad> That's great. I hope you get it.</s>		You should celebrate too. I would</s>
There's too many things to think about</s> You are good at generalizing aren't you?</s> Yeah, what am I getting myself into</s>		<pad> I'm sure you'll get there.</s>		I have no clue.. really I don't!</s>
I have a big exam for college coming up, I have been studying day and night.</s> What's the exam on?</s> It is for my molecular biology class, I feel pretty good that I am going to Ace it.</s>		<pad> That's great. I hope you have a good time.</s>		I wish you good luck!</s>
I was going through some boxes the other day. I found some old pictures of my kids I thought were gone</s>		<pad> I bet they were a lot of fun.</s>		That is exciting! I love having pictures to look back on.</s>
I was going through my photos today and I saw a picture of me and my ex together. It just made me feel odd, I miss him.</s> Nice, when did you guys break up</s> We broke up back in May, he was just too much of a workaholic.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		I see, you'll find someone better</s>
I recently enrolled back in my university after dropping out 6 years ago.</s> Really? That is a good move</s> I was scared about it at first, but so far I have all A's. I must say, I'm proud of myself!</s>		<pad> I'm glad you are doing well.</s>		You have As because you have high interest in studying</s>
I was out at dinner with my family, and when coming back to the table from the bathroom I somehow accidentally sat down with a different family.</s>		<pad> That's a shame. What happened?</s>		That is embarassing, but a good story at least!</s>
Urgh that sounds like the worst! How early?</s> Not until about 8am, but it's so loud I can hear it in my first floor apartment with the doors and windows closed. Idiot man!</s> So inconsiderate! It reminds me of my neighbours doing building work one morning at 6AM!</s> Yikes! Why are some people such inconsiderate creeps? It makes me really mad!</s>		<pad> I'm sorry to hear that. I hope you get better soon!</s>		Me too!</s>
I have a friend with loaded parents. She doesn't work but has anything she wants anytime she wants.</s>		<pad> That's great. I'm glad you have a friend like that.</s>		Wow, must be nice. My parents were really poor- still are.</s>
I bumped into a friend from middle school. We chatted for a while</s> Wow, that must have been nice to catch up. When was the last time you saw your friend?</s> Before 9th grade. I moved away that summer. Seeing her brought back a lot of good memories</s>		<pad> I'm sure she was a great friend.</s>		Seeing old friends that you have not contacted in so long is a nice feeling.</s>
My son was in advance placement and honors during high school. He went to a prestigious college after, going for as an Aerospace Engineer. He never ceases to astonish me with his intelligence and admire me with how hard he works to pursue his dreams.</s>		<pad> That is great. I hope he is able to do well in his future.</s>		Wow! It sounds like your kid is quite smart and gifted! You must be really proud of him!</s>
I went on a job interview. I'm anxiously waiting to hear if I got the job.</s> When will you find out?</s> I still need wait another week.</s>		<pad> That's great. I hope you get the job.</s>		Oh the wait is terrible. What type of job?</s>
My husband has to travel a lot for work. It can be hard on a marriage, but after almost 23 years of marriage, I have faith he is loyal and faithful when he does.</s> What does your husband do for work?</s> He is an iron worker, so he has to go state to state at times to build very large buildings.</s>		<pad> I am sure he will be able to do that for you.</s>		My uncle use to be an iron worker, so I know exactly what you are talking about.</s>
I recently remembered a sweet memory of my aunt who recently passed away.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		what was it?</s>
